,"Instruction Text",,,,,"Please rank these on campus dining facilities by how
often you utilize them.",,,,,,,,,,"How satisfied are you with the access to these items on
campus?",,,,,
,Question,"Which dorm do you live in?","How often do you cook?","Which meals do you typically cook? (Select all that
apply)","Which meals do you typically cook? (Select all that
apply)",Cultivate,"Local Point","District Market","Husky Den (in the HUB)","Food Trucks","The 8","The Nook","By George Cafe","How satisfied are you with the cooking facilities
available to you?","How many of the cooking utensils (pots, pans, etc.) that
you need do you own or are able to borrow?",Produce.,"Bulk Food.","Cooking Utensils (Pots, Pans, etc.)","If given the choice of a lower level dining plan than is
currently available or opting out entirely what choice
would you make?","When you choose NOT to cook what is the biggest reason
you make that choice?","When you DO choose to cook what is the biggest reason
you make that decision?"
"Participant ID",,,,,,,,,,,,,,,,,,,,,
17903313,,"Maple Hall","Once every few days.",777,Dinner,"8 (Use the least often)",2,"1 (Use the most often)",3,4,5,6,7,3,"Somewhat less than I need.",2,2,"1 (Not at all satisfied)","I would choose a dining plan level below the current Level 1.","Time and money if district market doesn't have what I need.","I want real food that doesn't make me feel terrible."
17927055,,"McMahon Hall","Once every few days.",Dinner,777,7,"8 (Use the least often)",3,5,4,"1 (Use the most often)",6,2,2,"Somewhat less than I need.",2,"1 (Not at all satisfied)",3,"I would choose a dining plan level currently available.","Time constraint","I have time"
17915806,,"Mercer Court","1-4 times a month.",777,Breakfast,"8 (Use the least often)",3,"1 (Use the most often)",7,"8 (Use the least often)","8 (Use the least often)","8 (Use the least often)","8 (Use the least often)",4,"Everything I need.",3,3,4,"I would choose a dining plan level currently available.","The kitchen has too much stuff going on due to my roommates","No one is home and I have the necessary ingredients"
17926695,,"Haggett Hall","Once every few days.","Breakfast, Dinner",777,5,"8 (Use the least often)",7,3,4,"1 (Use the most often)",2,6,2,"Much less than I need.",2,"1 (Not at all satisfied)","1 (Not at all satisfied)","I would choose a dining plan level currently available.","It's difficult to cook with the facilities available and takes much more work.","I'm tired of the food at the 8"
17916191,,"Haggett Hall","Less than once a month.",777,Dinner,6,7,4,3,"8 (Use the least often)","1 (Use the most often)",2,5,"1 (Not at all satisfied)","Much less than I need.",3,"1 (Not at all satisfied)","1 (Not at all satisfied)","I would choose a dining plan level currently available.","It’s easier","I want to cook something special"
17926662,,"Maple Hall","Once every few days.",777,Dinner,"8 (Use the least often)",3,"1 (Use the most often)",2,4,7,6,5,4,"Much less than I need.",4,2,2,"I would choose a dining plan level below the current Level 1.","Lack of time","It’s healthier"
17927759,,"Haggett Hall","1-4 times a month.",Breakfast,777,"8 (Use the least often)",6,4,5,7,"1 (Use the most often)",2,4,3,"Somewhat less than I need.",3,2,2,"I would choose a dining plan level currently available.","No time","Save money"
